"","title","link","guid","atom.link","media.content","media.description","media.credit","description","dc.creator","pubDate","category","category.1","category.2","category.3","category.4","category.5","category.6","category.7","category.8","category.9","category.10","category.11","category.12","category.13","category.14","category.15","category.16","category.17","category.18"
"11","At Fox News, Another Prominent Host Is Fired, and Another Week of Tough Headlines","https://www.nytimes.com/2017/05/19/business/media/fox-news-fires-bib-beckel-prime-time-regular-for-racially-insensitive-remark.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/business/media/fox-news-fires-bib-beckel-prime-time-regular-for-racially-insensitive-remark.html","#NA","#NA","Bob Beckel, second from left, with other hosts of “The Five” on Fox News. The network fired Mr. Beckel on Friday for making a racially insensitive remark to a black co-worker.","Fox News Channel","The dismissal of Bob Beckel, a host of “The Five,” is the latest setback for a network coping with a harassment and bias scandal and the death of its founder.","MICHAEL M. GRYNBAUM and EMILY STEEL","Sat, 20 May 2017 01:10:10 GMT","Fox News Channel","Beckel, Bob (1948- )","Blacks","Discrimination","News and News Media","Television","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"12","Common Sense: Washington Post, Breaking News, Is Also Breaking New Ground","https://www.nytimes.com/2017/05/19/business/washington-post-digital-news.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/business/washington-post-digital-news.html","#NA","#NA","The newsroom of The Washington Post. Recent scoops about the administration have further enhanced what the news organization says is a highly successful strategy for impactful, profitable journalism in a digital age.","Justin T. Gellerson for The New York Times","As with Watergate, the paper’s scoops about the administration are helping shape the national conversation. They are also driving its digital success.","JAMES B. STEWART","Fri, 19 May 2017 11:00:26 GMT","Newspapers","News and News Media","Computers and the Internet","Prices (Fares, Fees and Rates)","Washington Post","Baron, Martin D","Bezos, Jeffrey P","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"13","Your Daily Mini Crossword","http://www.nytimes.com/crosswords/game/mini?partner=rss&emc=rss","http://www.nytimes.com/crosswords/game/mini","#NA","#NA","#NA","#NA","Solve a bite-size crossword in just a few minutes.","#NA","Tue, 14 Mar 2017 22:01:11 GMT","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"14","Trump Arrives in Saudi Arabia to a Warm Welcome","https://www.nytimes.com/2017/05/20/world/middleeast/donald-trump-saudi-arabia.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/middleeast/donald-trump-saudi-arabia.html","#NA","#NA","#NA","#NA","Saudi leaders, who had grown disenchanted with President Barack Obama, appeared to embrace a U.S. leader intent on supporting Sunni Muslim countries.","MICHAEL D. SHEAR and PETER BAKER","Sat, 20 May 2017 20:48:50 GMT","Trump, Donald J","United States Politics and Government","Saudi Arabia","United States International Relations","Salman, King of Saudi Arabia","Riyadh (Saudi Arabia)","United States","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"15","Saudi Arabia to Invest $20 Billion in Infrastructure, Mostly in U.S.","https://www.nytimes.com/2017/05/20/business/dealbook/saudi-arabia-to-invest-20-billion-in-infrastructure-mostly-in-us.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/business/dealbook/saudi-arabia-to-invest-20-billion-in-infrastructure-mostly-in-us.html","#NA","#NA","#NA","#NA","The investment company Blackstone says the Saudi sovereign wealth fund has committed the money to a fund that could spend up to $100 billion on infrastructure.","MICHAEL J. de la MERCED","Sat, 20 May 2017 19:24:03 GMT","Infrastructure (Public Works)","Saudi Arabia","Sovereign Wealth Funds","Trump, Donald J","Schwarzman, Stephen A","The Blackstone Group","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"16","With Harleys and Hamburgers, Saudis Salute U.S. on Trump’s Visit","https://www.nytimes.com/2017/05/20/world/middleeast/saudi-arabia-king-salman-donald-trump-visit.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/world/middleeast/saudi-arabia-king-salman-donald-trump-visit.html","#NA","#NA","#NA","Ben Hubbard","As Saudi Arabia seeks to renew ties between the two nations, signs of America’s cultural influence on the kingdom are also to the fore.","BEN HUBBARD","Sat, 20 May 2017 15:49:35 GMT","vis-multimedia","Saudi Arabia","Riyadh (Saudi Arabia)","United States International Relations","Trump, Donald J","Salman, King of Saudi Arabia","Gerges, Fawaz A","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"17","Trump Told Russians That Firing ‘Nut Job’ Comey Eased Pressure From Investigation","https://www.nytimes.com/2017/05/19/us/politics/trump-russia-comey.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/us/politics/trump-russia-comey.html","#NA","#NA","President Trump met with Russian officials at the White House last week. American journalists were barred, but Russia released photographs.","Russian Foreign Ministry","The conversation reinforces the notion that President Trump dismissed him primarily because of the bureau’s investigation into possible collusion between his campaign and Russian operatives.","MATT APUZZO, MAGGIE HABERMAN and MATTHEW ROSENBERG","Sat, 20 May 2017 00:57:54 GMT","United States International Relations","Trump, Donald J","Kislyak, Sergei I","Lavrov, Sergey V","Russia","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"18","White House Memo: Trump Discovers the Dangers of Governing at Daredevil Speed","https://www.nytimes.com/2017/05/20/us/politics/trump-discovers-the-dangers-of-governing-at-daredevil-speed.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/20/us/politics/trump-discovers-the-dangers-of-governing-at-daredevil-speed.html","#NA","#NA","White House aides want President Trump to calm down, spend less time on Twitter and avoid making decisions too quickly.","Doug Mills/The New York Times","It is as if some unseen adversary has copied Mr. Trump’s own velocity and ferocity in an attempt to destroy him, several people close to the president said.","GLENN THRUSH","Sat, 20 May 2017 15:33:27 GMT","United States Politics and Government","Social Media","Trump, Donald J","Republican Party","Federal Bureau of Investigation","Bannon, Stephen K","Comey, James B","Mueller, Robert S III","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"19","Having Trouble Keeping Up With All the Trump News? Here Are the Must-Reads","https://www.nytimes.com/2017/05/19/us/politics/trump-news-politics-week-in-review.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/us/politics/trump-news-politics-week-in-review.html","#NA","#NA","President Trump met with Sergey V. Lavrov, Russia’s foreign minister, in the White House last week. American journalists were barred, but Russia released photographs.","Russian Foreign Ministry","Worried that you missed an important political story this week? You’re not alone. Catch up on a very hectic week of news.","Compiled by ANNA DUBENKO","Sat, 20 May 2017 01:12:48 GMT","United States Politics and Government","Comey, James B","Trump, Donald J","Flynn, Michael T","United States International Relations","United States","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
"20","What to Cook, Watch, Listen To and More This Weekend","https://www.nytimes.com/2017/05/19/smarter-living/what-to-cook-watch-listen-to-and-more-this-weekend.html?partner=rss&emc=rss","https://www.nytimes.com/2017/05/19/smarter-living/what-to-cook-watch-listen-to-and-more-this-weekend.html","#NA","#NA","Jack Nance in “Eraserhead.”","American Film Institute","Tips to make the most of your weekend.","TIM HERRERA and MICHELLE L. DOZOIS","Fri, 19 May 2017 20:54:36 GMT","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA","#NA"
